Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Education, Language Spoken and Literacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Highest Qualification Attained (HQA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Residents Aged 25 Years & Over By Highest Qualification Attained, Sex And Age Group, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 03/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
  40 - 44 Years,24000,22900,25700,23600,25700,28300,28600,32400,31400,34400,34000,34100,36300,20400,25300,22300,22600,33500,21600,22600,23200,23200,29600,20900,21600,19900,19700,20700,15800,18300,16000,13400,10400
  45 - 49 Years,31100,30700,35900,36600,33700,33800,34100,34100,30800,31800,35200,32600,32600,21800,23600,22500,21200,31100,22700,21000,19900,17300,22400,15700,15400,15000,13900,14800,11600,9800,9200,6900,4500
  50 - 54 Years,35600,29800,35700,35100,34800,32600,32000,33900,34800,33800,34700,29900,30900,19200,20300,18300,16900,23000,15000,13200,12800,13300,16200,10400,8900,7900,7300,7900,7600,7100,7600,6400,3000
  55 - 59 Years,37900,33200,34500,32400,33400,29300,32500,29800,29100,28400,27000,23600,22100,15000,13700,12500,12300,14300,11300,10100,7200,5900,8100,6800,5800,6100,6500,6100,4900,3700,3300,3100,1600
  60 - 64 Years,39000,38300,32000,27600,26600,26900,24800,22500,19200,17400,16700,14200,13500,9200,7900,6900,6600,6500,4900,5900,5300,4500,5500,4200,2900,2400,3000,2800,2200,1800,1900,1500,900
  65 Years & Over,71500,52600,47800,40900,34800,32100,26700,24600,23500,19200,17200,15400,13900,10700,11000,9400,9500,8400,6600,6700,4300,3600,5300,3600,2800,2500,2900,3700,3400,2700,1900,2200,1500
Total - Diploma & Professional Qualification,521900,486200,456800,461200,434900,415900,411500,405500,401800,372600,364600,352300,342400,314900,295100,278700,261100,267800,231200,216500,196600,189700,202300,163800,151600,133300,121600,108800,95100,83800,79700,67200,59100
  25 - 29 Years,54600,60100,66000,62800,61400,61200,62600,59700,59100,55500,59400,59900,63700,63700,60000,64400,62500,64000,59600,58500,53900,53200,54500,46100,43200,39800,35200,32500,28300,27200,25100,21100,18200
  30 - 34 Years,63500,72300,63300,59500,56900,55400,58700,62300,66300,63100,63000,66500,66900,61500,61100,58500,54800,58400,51800,47400,44600,42700,44400,39300,37000,31700,27000,24800,23100,18000,19900,17000,14400
  35 - 39 Years,68300,66300,64400,65600,68200,67700,65700,66500,66700,66200,63900,60500,62200,56900,54200,49300,45500,46100,39300,37300,33700,35100,35500,28800,24400,22400,20700,21000,16300,14100,12700,10000,9700
  40 - 44 Years,78700,70400,65800,67000,68900,66600,63200,62500,59500,55900,54100,50000,48000,42900,39000,37500,34300,35200,28600,25700,24400,22000,26600,20200,19900,15400,14300,12400,10500,9800,8400,7700,6900
  45 - 49 Years,77200,62800,60000,62800,56500,56100,49900,50700,48100,44500,44100,40200,36200,34700,31100,29100,25100,26100,20900,19200,16400,16100,17100,12000,12000,10800,10400,8700,6600,5300,5300,4600,3900
  50 - 54 Years,56700,45300,46200,48000,42400,39200,41000,39000,36700,33400,31400,32000,27000,23600,20800,17200,15500,16100,13300,13300,10600,10300,11500,7200,7100,6000,5500,4300,4300,4300,3800,3200,2900
  55 - 59 Years,44200,38200,32900,39000,33400,28800,28300,27800,26700,23700,21100,19000,17300,12200,12800,11300,10800,10700,8300,7500,6500,4700,5700,4600,3900,3500,4000,3000,2800,2100,2000,1700,1600
  60 - 64 Years,34100,32300,25900,24800,20900,18000,19700,17000,17800,15500,12800,11500,11100,9400,7900,6300,5900,5300,4200,4000,3600,2700,3800,3000,2400,1900,1900,1100,1600,1700,1200,900,700
  65 Years & Over,44600,38400,32200,31700,26300,23000,22400,20000,20900,14900,14900,12600,10100,10000,8100,5000,6600,5900,5100,3800,3100,2800,3100,2500,1900,1700,2500,1000,1600,1400,1200,1100,800
Total - University,1116900,1074300,982000,946200,908700,874000,814200,775800,758100,729700,674400,638600,610000,568900,532200,492100,471900,404600,396900,367700,323500,288900,249900,237900,220300,194800,172700,140800,132500,121400,105400,88200,77000
  25 - 29 Years,125500,153000,150200,140800,136300,130800,134400,118900,117800,111800,105600,105500,114300,104500,98600,88200,91100,87500,84100,82800,75100,70200,66800,64200,56900,52500,46500,39500,37700,35300,30700,26800,22700
